Treatment,Group,Aperture
Initial-Dark,A,2.589095745
Mock Control,B,3.419414894
Original,C,4.877659574
Flowthrough,D,5.772606383
Wash(5% MeOH),E,6.034042553
E-25 MeOH,F,4.179255319
E-50 MeOH,G,3.998404255
E-75 MeOH,H,3.898404255
E-100 MeOH,I,3.998670213
Initial-Dark,A,2.195478723
Mock Control,B,3.4875
Original,C,3.584574468
Flowthrough,D,3.466223404
Wash(5% MeOH),E,4.803457447
E-25 MeOH,F,4.294680851
E-50 MeOH,G,4.128191489
E-75 MeOH,H,3.860638298
E-100 MeOH,I,3.6375
Initial-Dark,A,2.308510638
Mock Control,B,3.182978723
Original,C,4.402925532
Flowthrough,D,2.802659574
Wash(5% MeOH),E,4.08962766
E-25 MeOH,F,4.214893617
E-50 MeOH,G,4.307180851
E-75 MeOH,H,3.610904255
E-100 MeOH,I,3.2
Initial-Dark,A,2.468882979
Mock Control,B,3.841755319
Original,C,5.052925532
Flowthrough,D,2.368882979
Wash(5% MeOH),E,4.404521277
E-25 MeOH,F,4.19893617
E-50 MeOH,G,3.955053191
E-75 MeOH,H,3.64787234
E-100 MeOH,I,2.634042553
