Time,Sucrose,Rep,Avg_Aperture
0,Control,1,1.18425
0,Control,2,1.131714286
0,Control,3,1.224272727
0,Sucrose,1,0.864625
0,Sucrose,2,1.616142857
0,Sucrose,3,0.898692308
0,Sucrose,4,0.727875
0,Sucrose,5,1.336125
0,Control,3,0.863
0,Control,4,1.988
0,Control,5,0.863
30,Control,1,1.320384615
30,Control,2,2.062333333
30,Control,3,2.116714286
30,Control,4,2.5605
30,Control,5,1.4025
30,Sucrose,1,2.147
30,Sucrose,3,1.390166667
30,Sucrose,4,3.155625
30,Sucrose,5,2.4576
30,Sucrose,6,1.977857143
60,Control,1,2.477
60,Control,2,2.100714286
60,Control,3,2.034166667
60,Control,4,1.647
60,Control,5,1.566857143
60,Sucrose,1,2.460444444
60,Sucrose,2,2.464181818
60,Sucrose,3,2.6615
60,Sucrose,4,2.178363636
60,Sucrose,5,3.187083333
60,Sucrose,6,3.30025
90,Control,1,2.835375
90,Control,2,2.843666667
90,Control,3,2.789615385
90,Control,4,1.6989
90,Control,5,2.895714286
90,Control,6,1.797666667
90,Sucrose,1,3.383571429
90,Sucrose,2,3.099444444
90,Sucrose,3,3.4813
90,Sucrose,4,3.726363636
90,Sucrose,5,3.9285
90,Sucrose,6,4.5495
120,Control,1,3.335181818
120,Control,2,1.546555556
120,Control,3,1.768818182
120,Control,4,3.7389
120,Control,5,2.091555556
120,Control,6,2.103
120,Sucrose,1,4.1894
120,Sucrose,2,3.7768
120,Sucrose,3,4.712375
120,Sucrose,4,4.026
120,Sucrose,5,3.980125
120,Sucrose,6,4.05
120,Control,7,2.919166667
150,Control,1,2.1894
150,Control,2,2.7555
150,Control,3,2.652
150,Control,4,2.4765
150,Control,5,3.037555556
150,Control,6,2.5992
150,Control,7,3.458454545
150,Sucrose,1,3.237727273
150,Sucrose,2,3.110666667
150,Sucrose,3,3.203272727
150,Sucrose,4,4.956111111
150,Sucrose,5,3.8374
150,Sucrose,6,3.0421
180,Control,1,2.2054
180,Control,2,3.080375
180,Control,3,3.090166667
180,Control,4,2.4956
180,Control,5,3.980111111
180,Control,6,2.242
180,Control,7,3.238
180,Sucrose,1,3.546
180,Sucrose,2,3.7015
180,Sucrose,3,3.077454545
180,Sucrose,4,4.813545455
180,Sucrose,5,4.058
180,Sucrose,6,3.77675
180,Sucrose,7,4.5195
210,Control,1,2.397625
210,Control,2,1.888166667
210,Control,3,1.676333333
210,Control,4,1.053222222
210,Control,5,1.189333333
210,Control,6,2.361583333
210,Sucrose,1,2.161090909
210,Sucrose,2,2.2248
210,Sucrose,3,3.1178
210,Sucrose,4,2.3914
210,Sucrose,5,2.261625
210,Sucrose,6,2.992444444
210,Sucrose,7,1.742375
