Treatment,Time,Value
Sucrose,0,1
Mannitol ,0,1
Mannitol ,5,1.116219067
Mannitol ,15,1.282168568
Mannitol ,30,1.155028661
Mannitol ,60,0.839185999
Sucrose,5,1.064202429
Sucrose,15,1.669591893
Sucrose,30,1.868827606
Sucrose,60,1.970006148
Sucrose,0,1
Mannitol ,0,1
Mannitol ,5,0.840497808
Mannitol ,15,0.953367734
Mannitol ,30,0.704460637
Mannitol ,60,0.686087691
Sucrose,5,1.394757588
Sucrose,15,1.695149066
Sucrose,30,2.331146552
Sucrose,60,2.667754417
Sucrose,0,1
Mannitol ,0,1
Mannitol ,5,1.097473578
Mannitol ,15,1.252738179
Mannitol ,30,1.13693658
Mannitol ,60,1.277297362
Sucrose,5,1.758577918
Sucrose,15,2.238681127
Sucrose,30,3.252684814
Sucrose,60,3.39316017
