treat,Group,Aperture
Dark,B,1.388764368
0mM,C,2.183704762
0.4mM,D,2.48119403
1mM,E,2.772435185
30mM,F,2.280174603
50mM,G,2.492233871
100mM,H,1.355087379
Dark,B,0.829939394
0mM,C,2.135926606
0.4mM,D,3.1247
1mM,E,3.779584158
30mM,F,3.342321429
50mM,G,2.492233871
100mM,H,1.799784615
Dark,B,0.925333333
0mM,C,2.278818182
0.4mM,D,2.912348315
1mM,E,3.434614583
30mM,F,2.693186813
50mM,G,2.290061404
100mM,H,1.379038462
Dark,B,1.329939394
0mM,C,2.647915094
0.4mM,D,5.083457627
1mM,E,3.139961165
30mM,F,2.171958333
50mM,G,1.21342
100mM,H,1.055685393
Dark,B,0.72211
0mM,C,1.626172727
0.4mM,D,2.6124
1mM,E,1.987960784
30mM,F,2.220552846
50mM,G,1.173645161
100mM,H,1.130902913
Dark,B,1.434419355
0mM,C,1.932925466
0.4mM,D,2.090435644
1mM,E,2.469325203
30mM,F,1.293263889
50mM,G,1.986751825
100mM,H,1.526368
Dark,B,0.593094595
0mM,C,1.624011765
0.4mM,D,2.299708791
1mM,E,3.231572289
30mM,F,3.358075342
50mM,G,1.868569892
100mM,H,1.479978261
Dark,B,1.418196078
0mM,C,2.795732484
0.4mM,D,3.541227778
1mM,E,3.0398
30mM,F,2.396511628
50mM,G,2.046746479
100mM,H,1.323314607
