Genotype ,Treatment,Letter,Aperture,Tukey
A,Pre,A,1.116118421,a
B,Dark,B,0.216081633,b
DCMU,0mM,C,0.3734,d
DCMU,1mM,D,1.122977778,f
DCMU,100mM,E,0.252214286,h
Control,0mM,C,1.100893491,c
Control,1mM,D,1.60025,e
Control,100mM,E,0.300305556,g
A,Pre,A,0.81895,a
B,Dark,B,0.240924528,b
Control,0mM,C,0.881933333,c
Control,1mM,D,1.549851852,e
Control,100mM,E,0.236871795,g
DCMU,0mM,C,0.248369565,d
DCMU,1mM,D,0.808223881,f
DCMU,100mM,E,0.278594595,h
Control,0mM,C,0.803871795,c
Control,1mM,D,1.491633333,e
Control,100mM,E,0.274108696,g
DCMU,0mM,C,0.346304348,d
DCMU,1mM,D,1.028977273,f
DCMU,100mM,E,0.311814286,h
A,Pre,A,0.81895,a
B,Dark,B,0.240924528,b
