Ttreatment,Group,Letter,Aperture
B,Dark,B,0.312170732
C,0mM,C,1.256813953
D,0.4mM,D,1.967942029
D,1mM,E,1.943756098
D,30mM,F,1.131658537
D,50mM,G,1.13828
D,100mM,H,0.610055556
E,0.4mM,D,1.239839286
E,1mM,E,1.043743243
E,30mM,F,0.893559322
E,50mM,G,0.453707692
E,100mM,H,0.550454545
B,Dark,B,0.539945946
C,0mM,C,1.389029412
D,0.4mM,D,1.973931034
D,1mM,E,2.415883721
D,30mM,F,0.983305556
D,50mM,G,0.563189873
D,100mM,H,0.28025
E,0.4mM,D,1.474630435
E,1mM,E,1.487444444
E,30mM,F,1.082734694
E,50mM,G,0.721288889
E,100mM,H,0.30362069
B,Dark,B,0.377361702
C,0mM,C,1.240942857
D,0.4mM,D,1.083214286
D,1mM,E,1.996608696
D,30mM,F,0.93275
D,50mM,G,0.706675676
D,100mM,H,0.32015
E,0.4mM,D,0.88615625
E,1mM,E,0.986882353
E,30mM,F,0.765929825
E,50mM,G,0.296742857
E,100mM,H,0.260516129
