Genotype,Treatment,Letter,Aperture
Col,0 mM,D,1.009152174
Col,0 mM,D,1.135027027
Col,0mM,D,1.196433962
Col,0.4 mM,E,1.68903125
Col,0.4 mM,E,1.525814815
Col,0.4mM,E,1.3464375
Col,1 mM,F,2.018710526
Col,1 mM,F,1.8882
Col,1mM,F,1.260129032
Col,100 mM,I,0.272206897
Col,100 mM,I,0.272206897
Col,100mM,I,0.350538462
Col,30 mM,G,1.071530612
Col,30 mM,G,1.043191489
Col,30mM,G,0.3545
Col,50 mM,H,0.728878788
Col,50 mM,H,0.726
Col,50mM,H,0.668
Col,Dark,B,0.376064516
Col,Dark,B,0.711923077
Col,Dark,B,0.376064516
PhyB,0 mM,D,1.451236842
PhyB,0 mM,D,1.2247
PhyB,0mM,D,0.857045455
PhyB,0.4 mM,E,1.468333333
PhyB,0.4 mM,E,1.468333333
PhyB,0.4mM,E,1.491051282
PhyB,1mM,F,1.6214
PhyB,1 mM,F,1.785285714
PhyB,1 mM,F,1.785285714
PhyB,100 mM,I,0.380972222
PhyB,100 mM,I,0.399552049
PhyB,100mM,I,0.538674419
PhyB,30 mM,G,0.366384615
PhyB,30 mM,G,0.763722222
PhyB,30mM,G,0.788833333
PhyB,50 mM,H,0.736214136
PhyB,50 mM,H,0.740047619
PhyB,50mM,H,0.564142857
PhyB,Dark,B,0.349189189
PhyB,Dark,B,0.235461538
PhyB,Dark,B,0.349189189
