Genotype ,Treatment,Letter,Aperture
A,Dark,B,0.274738095
B,Dark,B,0.823510638
Col-0,0 mM,D,1.209333333
slac1-3,0 mM,D,2.395423913
Col-0,0.4 mM,E,1.875555556
slac1-3,0.4 mM,E,2.13779661
Col-0,1 mM,F,2.144027027
slac1-3,1 mM,F,2.064735294
Col-0,30 mM,G,1.030387097
slac1-3,30 mM,G,1.358170213
Col-0,50 mM,H,0.638078431
slac1-3,50 mM,H,1.501684211
Col-0,100 mM,I,0.251096774
slac1-3,100 mM,I,0.657298246
A,Dark,B,0.504413793
B,Dark,B,0.712238806
Col-0,0mM,D,0.979354839
slac1-3,0mM,D,1.773795455
Col-0,0.4mM,E,1.21764
slac1-3,0.4mM,E,1.772538462
Col-0,1mM,F,2.325583333
slac1-3,1mM,F,1.87226087
Col-0,30mM,G,1.074819672
slac1-3,30mM,G,1.7339
Col-0,50mM,H,0.867112903
slac1-3,50mM,H,1.919222222
Col-0,100mM,I,0.38215
slac1-3,100mM,I,1.086534884
A,Dark,B,0.526774194
B,Dark,B,0.857793651
Col-0,0 mM,D,0.662877551
slac1-3,0 mM,D,1.870808219
Col-0,0.4 mM,E,1.674931034
slac1-3,0.4 mM,E,1.906380952
Col-0,1 mM,F,2.054594595
slac1-3,1 mM,F,1.894820513
Col-0,30 mM,G,1.14508
slac1-3,30 mM,G,1.1061
Col-0,50 mM,H,0.375102392
slac1-3,50 mM,H,0.947386364
Col-0,100 mM,I,0.385032258
slac1-3,100 mM,I,0.584928571
